adcode,name,level,parent,suffix,lng,lat,py,pyf,p1
430400,衡阳,city,430000.0,市,112.572016,26.894216,hengyang,hy,h
430100,长沙,city,430000.0,市,112.938882,28.228304,changsha,cs,c
430800,张家界,city,430000.0,市,110.478887,29.117343,zhangjiajie,zjj,z
430700,常德,city,430000.0,市,111.69905,29.031446,changde,cd,c
431200,怀化,city,430000.0,市,110.001598,27.569813,huaihua,hh,h
430300,湘潭,city,430000.0,市,112.945439,27.83136,xiangtan,xt,x
430200,株洲,city,430000.0,市,113.132783,27.828862,zhuzhou,zz,z
430500,邵阳,city,430000.0,市,111.467855,27.239528,shaoyang,sy,s
431000,郴州,city,430000.0,市,113.015517,25.770117,chenzhou,cz,c
431100,永州,city,430000.0,市,111.613482,26.419861,yongzhou,yz,y
431300,娄底,city,430000.0,市,111.994468,27.699838,loudi,ld,l
430900,益阳,city,430000.0,市,112.355994,28.554853,yiyang,yy,y
469021,定安,city,460000.0,县,110.358001,19.681215,dingan,da,d
469024,临高,city,460000.0,县,109.690508,19.912025,lingao,lg,l
469022,屯昌,city,460000.0,县,110.101667,19.351662,tunchang,tc,t
469007,东方,city,460000.0,市,108.651829,19.095187,dongfang,df,d
469002,琼海,city,460000.0,市,110.474524,19.259112,qionghai,qh,q
469006,万宁,city,460000.0,市,110.392605,18.793697,wanning,wn,w
460300,三沙,city,460000.0,市,112.338649,16.831004,sansha,ss,s
469005,文昌,city,460000.0,市,110.797473,19.544234,wenchang,wc,w
469023,澄迈,city,460000.0,县,110.007497,19.738885,chengmai,cm,c
460200,三亚,city,460000.0,市,109.511709,18.252865,sanya,sy,s
460400,儋州,city,460000.0,市,109.580812,19.520948,danzhou,dz,d
460100,海口,city,460000.0,市,110.198418,20.045805,haikou,hk,h
469001,五指山,city,460000.0,市,109.516784,18.774827,wuzhishan,wzs,w
320600,南通,city,320000.0,市,120.894522,31.981269,nantong,nt,n
320700,连云港,city,320000.0,市,119.221487,34.596639,lianyungang,lyg,l
